benchmark              pass                 MDE                     MEE                     delta                    delta %
sglib-listinsertsort1  esra                 0.189002875             0.188927                -7.587499999997527e-05   -0.04014489197583649%
fdct                   forwprop             0.162598375             0.16253412499999997     -6.425000000001568e-05   -0.03951454004384465%
sqrt                   copyprop             0.01187475              0.011870125             -4.624999999999421e-06   -0.03894818838290845%
nbody                  mergephi             0.17284874999999997     0.17278162500000002     -6.71249999999457e-05    -0.038834530188934374%
aha-mont64             forwprop             0.168287625             0.16822362500000002     -6.399999999998074e-05   -0.038030128477944077%
ud                     copyrename           0.12820574999999998     0.12815875              -4.699999999999149e-05   -0.0366598221998557%
fibcall                copyprop             0.04754749999999999     0.047531375             -1.612499999999184e-05   -0.033913454966069394%
bsort100               forwprop             0.16072025              0.1606675               -5.275000000001806e-05   -0.03282100419829988%
nbody                  esra                 0.17284212499999999     0.17278825              -5.387499999998102e-05   -0.03117006343215291%
ctl-stack              mergephi             0.13763175              0.137589875             -4.1874999999996776e-05  -0.03042539239673751%
nettle-md5             forwprop             0.153074875             0.153028625             -4.624999999999768e-05   -0.03021397208392147%
sha                    copyrename           0.7315268749999999      0.731306                -0.00022087499999989824  -0.030193695891199933%
stb_perlin             ccp                  0.038348625             0.038337125             -1.1499999999997623e-05  -0.029988037380734314%
ctl-stack              copyrename           0.137630625             0.13759100000000002     -3.962499999998759e-05   -0.02879083052917008%
lcdnum                 fre                  0.019001749999999998    0.018996625             -5.1249999999981866e-06  -0.026971200021041152%
insertsort             fre                  0.138384                0.13834912500000002     -3.4874999999989775e-05  -0.02520161290321842%
crc                    einline              0.19102175              0.19097475000000003     -4.699999999996374e-05   -0.0246045280183873%
cnt                    forwprop             0.12450025              0.12447150000000001     -2.8749999999994058e-05  -0.02309232310778015%
fdct                   copyrename           0.16258375000000003     0.16254875              -3.5000000000035e-05     -0.021527366664894243%
nettle-md5             copyrename           0.153068125             0.153035375             -3.274999999999806e-05   -0.021395702077096755%
sglib-listinsertsort1  einline              0.18898500000000001     0.188944875             -4.0125000000001965e-05  -0.021231843797127795%
cover                  einline              0.153036875             0.15300499999999997     -3.187500000001453e-05   -0.02082831343753885%
