benchmark              pass                 MDE                     MEE                     delta                    delta %
expint                 ccp                  0.110264                0.110422875             0.00015887500000000276   0.14408601175361205%
ctl-stack              fre                  0.137511375             0.13771025              0.000198875000000015     0.14462439925425444%
newlib-log             ccp                  0.21419449999999998     0.214505875             0.0003113750000000304    0.14537021258717214%
fac                    ccp                  0.101175125             0.10132225              0.00014712499999999795   0.1454161781366694%
sglib-arraysort1       fre                  0.26944975000000004     0.269853625             0.0004038749999999425    0.1498888011586362%
recursion              ccp                  0.26132049999999996     0.261714                0.0003935000000000466    0.15058137421290968%
newlib-mod             early_optimizations  0.0401635               0.04022475              6.12499999999988e-05     0.15250164950763456%
sglib-listinsertsort   ccp                  0.35422375              0.35477225000000007     0.0005485000000000628    0.15484563076305946%
sglib-arraysort        early_optimizations  0.231814125             0.23217375              0.0003596250000000023    0.15513506780486405%
fdct                   ccp                  0.16243675              0.16269574999999997     0.00025899999999998147   0.1594466769373196%
sglib-hashtable        early_optimizations  0.135047125             0.13526549999999998     0.00021837499999999288   0.16170281299953101%
ludcmp                 early_optimizations  0.18535612499999998     0.18565662500000005     0.0003005000000000646    0.16212035075725964%
mergesort              ccp                  0.054391125000000005    0.05448062499999999     8.949999999998542e-05    0.16454890388824542%
select                 fre                  0.1659995               0.166274                0.00027450000000001085   0.16536194386128322%
sglib-listsort         early_optimizations  0.12914625              0.1293605               0.00021424999999999916   0.16589719020103114%
aha-compress           early_optimizations  0.149443875             0.14969225              0.00024837499999999513   0.16619951804648742%
sglib-arraysort1       copyrename           0.26942575              0.269877625             0.0004518749999999905    0.16771782207156904%
lms                    early_optimizations  0.462982625             0.4637596249999999      0.0007769999999999166    0.16782487247764788%
strstr                 early_optimizations  0.16471312500000002     0.164991375             0.0002782499999999799    0.16893007160174994%
slre                   ccp                  0.2688955               0.269351                0.0004554999999999976    0.16939666152836233%
stb_perlin             copyrename           0.038310374999999994    0.038375375             6.50000000000095e-05     0.16966683307070082%
ndes                   early_optimizations  0.18027187500000003     0.18057912499999998     0.0003072499999999534    0.170437013538553%
sglib-rbtree           early_optimizations  0.164969375             0.16525425              0.00028487499999999      0.17268356626797549%
sglib-arraysort        fre                  0.231792875             0.23219499999999998     0.0004021249999999754    0.17348462501272977%
lcdnum                 early_optimizations  0.018982625000000003    0.019015749999999998    3.3124999999994964e-05   0.1745016824595911%
jfdctint               early_optimizations  0.175183                0.17549525              0.00031224999999998615   0.17824218103353986%
newlib-log             fre                  0.214158875             0.2145415               0.00038262499999999755   0.17866408758450825%
fac                    fre                  0.10115737500000001     0.10134                 0.00018262499999999182   0.180535526945012%
nbody                  early_optimizations  0.172659125             0.17297125              0.00031212499999999643   0.18077527034843738%
newlib-sqrt            ccp                  0.19814625000000002     0.198511875             0.00036562499999998055   0.18452279566228508%
newlib-exp             ccp                  0.132127875             0.13237225              0.0002443749999999911    0.18495340214923697%
cover                  early_optimizations  0.15287937499999996     0.15316249999999998     0.00028312500000002294   0.18519502712515865%
janne_complex          fre                  0.028885625             0.028940125000000004    5.450000000000246e-05    0.1886751628188847%
insertsort             early_optimizations  0.1382345               0.13849862500000001     0.00026412500000000394   0.19107024657375976%
sha                    ccp                  0.730717625             0.7321152499999999      0.001397624999999847     0.19126745437402676%
edn                    early_optimizations  0.140586375             0.140856125             0.0002697499999999853    0.19187492386796748%
slre                   early_optimizations  0.268863375             0.269383125             0.0005197499999999855    0.1933137973887241%
duff                   copyrename           0.147387875             0.14767887500000001     0.00029100000000001347   0.19743822210613557%
fac                    early_optimizations  0.101148375             0.10134900000000001     0.00020062500000000982   0.19834722999752574%
sglib-listsort         fre                  0.1291225               0.12938424999999998     0.0002617499999999773    0.20271447656293617%
qurt                   early_optimizations  0.165490625             0.16582724999999998     0.0003366249999999793    0.2034103140283501%
aha-compress           copyprop             0.149415375             0.14972075              0.0003053750000000244    0.20437990400922557%
aha-compress           esra                 0.14941400000000002     0.149722125             0.00030812499999999243   0.20622230848514356%
sglib-rbtree           ccp                  0.164941                0.16528262500000002     0.00034162500000001206   0.2071195154631123%
gdb-store              ccp                  0.20579112500000002     0.206219625             0.00042849999999997057   0.208220835568089%
nbody                  copyrename           0.17263475              0.172995625             0.00036087499999998274   0.20903960529382568%
sglib-listinsertsort1  fre                  0.188766875             0.18916300000000003     0.00039612500000002493   0.20984878835337237%
gdb-all-types          einline              0.004084625             0.00409325              8.624999999999952e-06    0.21115769501484108%
stb_perlin             fre                  0.038302375             0.038383375             8.099999999999774e-05    0.21147513698562487%
bsort100               early_optimizations  0.160523875             0.160863875             0.0003399999999999792    0.2118064991889706%
sglib-queue            early_optimizations  0.1821355               0.1825225               0.00038699999999999846   0.21247917072728736%
gdb-async              copyrename           0.004080749999999999    0.0040895               8.750000000000945e-06    0.21442136862098748%
st                     esra                 0.04844075              0.048544625             0.00010387500000000327   0.21443722485717764%
ctl-string             early_optimizations  0.13316887500000002     0.13345649999999998     0.00028762499999995805   0.215985154188588%
ctl-stack              ccp                  0.13746199999999997     0.137759625             0.00029762500000002357   0.21651438215654042%
crc                    fre                  0.190788625             0.191207875             0.0004192500000000099    0.2197458050761726%
minver                 early_optimizations  0.192462875             0.192887125             0.00042424999999998714   0.22043212229890422%
gdb-store              early_optimizations  0.20577849999999998     0.20623225              0.0004537500000000305    0.22050408570381774%
newlib-sqrt            early_optimizations  0.198108375             0.19854975              0.00044137499999999386   0.2227947203140674%
recursion              fre                  0.26122425              0.26181025              0.0005860000000000309    0.22432833092640939%
duff                   early_optimizations  0.14736749999999998     0.14769925              0.00033175000000001953   0.22511747841282478%
duff                   ccp                  0.147365125             0.147701625             0.0003364999999999896    0.22834439288128014%
fft                    ealias               0.002009625             0.00201425              4.624999999999855e-06    0.23014243950985158%
minver                 ccp                  0.192447                0.192903                0.0004559999999999842    0.2369483546119109%
crc32                  early_optimizations  0.171929125             0.17234500000000003     0.00041587500000003774   0.24188746380233006%
expint                 fre                  0.11020949999999999     0.11047737500000002     0.0002678750000000285    0.24305980881868489%
sglib-queue            ccp                  0.18210674999999998     0.18255124999999997     0.00044449999999998657   0.24408760246393207%
ctl-vector             ccp                  0.21987599999999996     0.22041625000000004     0.0005402500000000754    0.24570667103279825%
bs                     ccp                  0.010819625000000001    0.010846249999999998    2.6624999999997137e-05   0.24608061739660234%
select                 ccp                  0.16593075              0.16634275              0.00041200000000002346   0.2482963525446751%
janne_complex          ccp                  0.02887675              0.028949000000000003    7.225000000000287e-05    0.2502012865021267%
expint                 early_optimizations  0.11020525              0.110481625             0.0002763749999999954    0.250782063467934%
newlib-exp             early_optimizations  0.13208437499999998     0.13241574999999997     0.00033137499999999487   0.2508813021979283%
mergesort              early_optimizations  0.054367375             0.054504374999999994    0.0001369999999999913    0.251989359427398%
ud                     early_optimizations  0.12801949999999998     0.12834500000000001     0.0003255000000000341    0.25425814036145594%
sglib-arraysort1       ccp                  0.269303375             0.27                    0.0006966250000000063    0.25867666901686853%
dijkstra               ccp                  0.154484125             0.154891875             0.00040775000000001227   0.26394297795971744%
strstr                 ccp                  0.16463                 0.1650745               0.00044450000000001433   0.2699993925773032%
prime                  early_optimizations  0.096931375             0.09719312499999999     0.00026174999999999116   0.2700364046213016%
newlib-log             early_optimizations  0.21405599999999997     0.214644375             0.0005883750000000298    0.27486966027582965%
sqrt                   fre                  0.011856                0.011888875             3.287499999999992e-05    0.27728576248313025%
nettle-md5             ccp                  0.152837375             0.153266125             0.0004287500000000055    0.280526932630193%
gdb-async              ccp                  0.004079375             0.004090875             1.1500000000000225e-05   0.2819059292171037%
gdb-anon               forwprop             0.0029057500000000003   0.002914                8.249999999999577e-06    0.28391981416156165%
levenshtein            early_optimizations  0.293007375             0.29384299999999997     0.000835624999999951     0.2851890673400118%
float_matmult          fre                  0.207558875             0.2081585               0.0005996249999999925    0.28889393431140564%
sglib-listsort         ccp                  0.129064875             0.12944187499999998     0.00037699999999998846   0.29210116230305766%
sha                    early_optimizations  0.730336                0.732496875             0.002160875000000062     0.29587409082943494%
nettle-md5             fre                  0.152823                0.15328050000000001     0.00045750000000002733   0.2993659331383544%
sglib-listinsertsort1  early_optimizations  0.18868049999999997     0.189249375             0.0005688750000000242    0.30150174501340854%
float_matmult          early_optimizations  0.207543625             0.20817375              0.0006301249999999814    0.30361086735378234%
aha-compress           ccp                  0.149341125             0.149795                0.00045387500000002023   0.3039182944416819%
select                 early_optimizations  0.16587987499999998     0.16639362500000002     0.000513750000000035     0.30971207326990996%
fibcall                early_optimizations  0.04746550000000001     0.047613375             0.00014787499999999176   0.311542067396302%
st                     early_optimizations  0.048415875             0.048569499999999995    0.0001536249999999975    0.3173029507367109%
sglib-listinsertsort   early_optimizations  0.353933375             0.355062625             0.001129250000000026     0.3190572236935909%
cnt                    early_optimizations  0.124287375             0.124684375             0.0003969999999999946    0.3194210192306295%
cubic                  early_optimizations  0.002222                0.002229125             7.125000000000187e-06    0.32065706570657904%
gdb-all-types          ealias               0.00408225              0.004095625             1.3375000000000366e-05   0.3276379447608639%
ctl-vector             early_optimizations  0.219784625             0.22050762499999998     0.0007229999999999737    0.3289584064399289%
sglib-dllist           ccp                  0.16035                 0.1608905               0.0005404999999999993    0.3370751481135013%
recursion              early_optimizations  0.26107375              0.26196074999999996     0.0008869999999999711    0.3397507409304732%
gdb-all-types          copyrename           0.004081625             0.004096249999999999    1.4624999999999014e-05   0.358313171837173%
dijkstra               early_optimizations  0.154411                0.154965                0.0005539999999999989    0.3587827292097059%
gdb-anon               ealias               0.002904625             0.0029151249999999997   1.0499999999999659e-05   0.3614924473899267%
nettle-arcfour         early_optimizations  0.15193725              0.15248675              0.0005495000000000083    0.3616624626284919%
gdb-advance            ealias               0.006976                0.007002374999999999    2.6374999999998622e-05   0.3780819954128242%
sglib-listinsertsort1  ccp                  0.18860712500000001     0.18932275000000004     0.0007156250000000253    0.3794262809530792%
fasta                  early_optimizations  0.180870375             0.181556875             0.0006865000000000065    0.37955358913808107%
ctl-stack              early_optimizations  0.1373435               0.13787812500000002     0.0005346250000000108    0.38926123187483264%
fft                    copyrename           0.0020080000000000002   0.002015875             7.874999999999636e-06    0.3921812749003802%
bs                     early_optimizations  0.010811500000000002    0.010854375             4.2874999999997776e-05   0.39656846876009594%
gdb-advance            einline              0.006974999999999999    0.007003375             2.8375000000000622e-05   0.4068100358423029%
wikisort               cddce                0.0010986250000000002   0.0011031249999999997   4.499999999999513e-06    0.40960291273177946%
gdb-advance            early_optimizations  0.006974625             0.0070037499999999996   2.9124999999999637e-05   0.4175851748301828%
janne_complex          early_optimizations  0.028849625             0.028976125000000005    0.00012650000000000508   0.4384805695048205%
bubblesort             early_optimizations  0.16011037499999997     0.160820125             0.0007097500000000367    0.44328795057786663%
sqrt                   ccp                  0.011845250000000002    0.011899624999999999    5.4374999999997134e-05   0.45904476477910666%
cubic                  copyrename           0.002220375             0.00223075              1.0374999999999968e-05   0.4672634127118152%
st                     fre                  0.048377375             0.048608                0.0002306249999999982    0.4767207811502757%
bs                     copyrename           0.010806125000000001    0.01085975              5.362499999999812e-05    0.4962463417737451%
gdb-all-types          forwprop             0.00407825              0.004099625             2.1374999999999693e-05   0.5241218659964371%
cubic                  ccp                  0.002219125             0.002232                1.2874999999999866e-05   0.5801836309356104%
cubic                  forwprop             0.002218625             0.0022325               1.3874999999999998e-05   0.6253873457659586%
gdb-all-types          ccp                  0.004075625             0.00410225              2.662499999999974e-05    0.653274037724269%
gdb-all-types          early_optimizations  0.004075375             0.004102499999999999    2.7124999999999372e-05   0.6655829218169953%
gdb-anon               ccp                  0.002899125             0.002920625             2.150000000000025e-05    0.7416030698917864%
wikisort               fre                  0.0010967499999999999   0.0011049999999999999   8.25000000000001e-06     0.7522224754957841%
fft                    early_optimizations  0.002004375             0.0020195               1.5124999999999948e-05   0.754599314000621%
wikisort               mergephi             0.001095375             0.001106375             1.0999999999999942e-05   1.0042222982996638%
cubic                  copyprop             0.002213875             0.0022372499999999997   2.3374999999999525e-05   1.0558410027666207%
gdb-arrayidx           forwprop             0.0011046250000000001   0.001116375             1.1749999999999825e-05   1.0637094036437544%
cubic                  fre                  0.0022133750000000005   0.0022377499999999993   2.437499999999879e-05    1.1012593889421713%
gdb-arrayidx           cddce                0.001102375             0.001118625             1.624999999999999e-05    1.4740900328835458%
sglib-arraybinsearch   esra                 0.000411                0.000417375             6.374999999999979e-06    1.5510948905109436%
sglib-arraybinsearch   fre                  0.00041075              0.000417625             6.874999999999991e-06    1.6737674984783912%
sglib-arraybinsearch   early_optimizations  0.000408875             0.00041949999999999995  1.0624999999999947e-05   2.5985937022317205%
sglib-arraybinsearch   copyprop             0.00040762500000000006  0.00042074999999999995  1.3124999999999899e-05   3.219871205151769%
gdb-arrayidx           esra                 0.0010882499999999998   0.0011327499999999999   4.450000000000005e-05    4.089133930622565%
sglib-arraybinsearch   cddce                0.00040137500000000004  0.000427                2.5624999999999986e-05   6.384303955154154%
2dfir                  early_optimizations  0.027362                0.030486875             0.003124874999999999     11.420491923105033%
2dfir                  forwprop             0.026732625             0.03111625              0.004383625000000002     16.398034237191457%
2dfir                  copyrename           0.025188500000000003    0.032660375             0.007471874999999996     29.663834686464043%
