benchmark             pass                 MDE                  DV                      MEE                  EV                      delta                    delta %
sglib-hashtable       fre                  0.16844174111297916  4.589515572903766e-05   0.16507113003814583  6.457218800399604e-05   -0.0033706110748333296   -2.0010545204306305%
edn                   local-pure-const     0.29760896901960415  7.409257167789196e-05   0.29171768051099994  6.970554606519088e-05   -0.005891288508604209    -1.9795399742190352%
duff                  tmipa                0.39311398234770834  0.00017953268789159808  0.3853486511084166   0.0001665462557959465   -0.0077653312392917395   -1.9753383466333496%
sglib-hashtable       early_optimizations  0.16839768133404168  4.3455956096442356e-05  0.1651151898170833   6.731075876453302e-05   -0.0032824915169583635   -1.9492498298994132%
fac                   local-pure-const     0.37987450890549995  0.009507209264158935    0.3725532126491042   0.00954411284787185     -0.007321296256395771    -1.9272933784080424%
lcdnum                local-pure-const     0.42018885759712504  0.0031090432610266553   0.4121961347395208   0.004874613735276679    -0.007992722857604218    -1.902173918487767%
strstr                tailr                0.23218113135652085  4.9845454967113044e-05  0.22778269848733337  6.4228838220927e-05     -0.00439843286918748     -1.8943972076841846%
sglib-arrayquicksort  local-pure-const     0.10476509736654165  1.265720973715393e-05   0.10279331165779586  1.2757821339999009e-05  -0.001971785708745788    -1.8821017288296895%
ctl-vector            local-pure-const     0.11841470063397914  0.0001323632961083927   0.11621864474435416  0.00011107669215198374  -0.002196055889624987    -1.8545466718807277%
bs                    emutls               0.38814033188981245  0.0005858743193113112   0.38100126304170834  0.0009471063214747626   -0.007139068848104113    -1.8393009593578629%
fasta                 inline               0.39494167546277076  0.020007044827981497    0.3876823328436874   0.017557414936513197    -0.007259342619083342    -1.8380796634280865%
sglib-rbtree          tmipa                0.17729917191114586  2.3763278031851213e-05  0.17404127973372918  2.3894817637737628e-05  -0.003257892177416677    -1.8375112203284183%
sha                   tmipa                0.6971736755062916   0.00048700101602723464  0.6844409774123125   0.000524185795776383    -0.012732698093979145    -1.8263308758370123%
edn                   early_optimizations  0.29737729549802083  5.30909374180304e-05    0.29194935403258326  9.338534121325442e-05   -0.005427941465437569    -1.825270976503885%
aha-mont64            increase_alignment   0.21796083151158333  0.001350060884568636    0.21401634481047913  0.0015592232256977261   -0.0039444867011041995   -1.8097227257524815%
ctl-string            tmipa                0.2954158295003542   6.537568931535277e-05   0.29007119150279165  8.174033813613036e-05   -0.0053446379975625735   -1.8091914731184588%
mergesort             esra                 0.29711644065916665  8.888443938769706e-05   0.29175236616564587  0.000228746214688841    -0.005364074493520776    -1.8053778786593995%
nettle-des            fre                  0.3691313191689167   0.0005704521585904707   0.36248650071425     0.00020550065692262156  -0.0066448184546667455   -1.8001231837025555%
mergesort             inline_param         0.2984606998093334   0.00010316666827594423  0.2930923046134306   0.00017926214717958446  -0.005368395195902764    -1.7986941662109193%
janne_complex         tmipa                0.3236848579879792   7.811482593663975e-05   0.31788195127202085  9.002049260747228e-05   -0.005802906715958345    -1.7927643424623372%
lcdnum                eipa_sra             0.419948478211021    0.002978671306746458    0.41243651412562493  0.005008791994709996    -0.007511964085396061    -1.7887823090577686%
minver                tmipa                0.3036503771919792   7.449288522044117e-05   0.2982636709407292   8.169579995211145e-05   -0.005386706251249984    -1.7739830594197832%
aha-mont64            inline_param         0.21888643804991662  0.0019468785651093566   0.21502263819806947  0.0012966597254329003   -0.0038637998518471495   -1.7652075141201837%
insertsort            tmipa                0.3934264489381875   9.624629749651812e-05   0.38654717544247913  0.00012895644996802088  -0.006879273495708382    -1.748553894705032%
ctl-stack             tmipa                0.11888918455612502  8.076679748326042e-06   0.1168184543611875   1.0884375822495192e-05  -0.0020707301949375173   -1.7417313464371271%
nettle-des            emutls               0.3690146384354584   0.00045154974143026135  0.3626031814477084   0.0003259589029797043   -0.006411456987749975    -1.7374532931628823%
bs                    tmipa                0.3879185578395834   0.0005632834934362568   0.3812230370919374   0.0009728305801681057   -0.006695520747646011    -1.7260119714135516%
sglib-dllist          tmipa                0.2010711182508542   2.9675596410289278e-05  0.19763148251966667  3.5212801854638834e-05  -0.0034396357311875236   -1.7106562897294235%
ndes                  tmipa                0.21839095081722917  0.0003857046512536813   0.21466947416691665  0.0003503507955839275   -0.0037214766503125274   -1.704043430548101%
crc                   ccp                  0.27964178356364583  0.0002529820877693447   0.27487831785039585  0.00012204290232684669  -0.004763465713249981    -1.7034170117735024%
nettle-des            copyprop             0.36892156277139576  0.0005584606598950025   0.36269625711177084  0.0002202491845915638   -0.0062253056596249245   -1.6874333971859674%
dtoa                  fre                  0.182983346621625    9.93631388728845e-05    0.1799446997963542   0.00011005066113718241  -0.003038646825270802    -1.6606138653448885%
aha-compress          tmipa                0.1716179353613542   1.4623510233657942e-05  0.168795512152875    2.2570771032895346e-05  -0.0028224232084791967   -1.644596878838087%
sglib-arrayquicksort  profile_estimate     0.10506163611979168  8.744165839285087e-06   0.10335172730962777  1.4564408351667674e-05  -0.0017099088101639043   -1.627529204108586%
2dfir                 tmipa                0.2452981379135      4.390273537814514e-05   0.24134641957608338  4.8762884384426665e-05  -0.003951718337416615    -1.6109858684741087%
cnt                   early_optimizations  0.18385568976222919  2.434590614729958e-05   0.18090008045508332  1.9984523337436616e-05  -0.0029556093071458622   -1.6075702149703361%
sglib-hashtable       copyprop             0.16808150277556247  3.082284055307233e-05   0.1654313683755625   8.185955339939584e-05   -0.002650134399999976    -1.5766960410502004%
